"Latest Tweets","Latest Tweets"
"about","about"
"days ago","días atrás"
"hours ago","horás atrás"
"minutes ago","minutos atrás"
"seconds ago","segundos atrás"
"Flickr Stream","Flickr Stream"
"Email address","E-mail"
"Join","Únete"
"Enter your e-mail Address","Ingresa tu E-mail"
"SEARCH","BUSCAR"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Carrito"
"All Categories","Todas las categorías"
"Catalog Category Search","Catalog Category Search"
"Search","¿Qué deseas buscar?"
"Search entire store here...","Buscar aquí..."
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
"Be the First to Know","Sé el primero en saberlo"
"Submit","Enviar"
"You've just added this product to the cart:","Acabas de añadir este producto al carrito de compras:"
"Quick View","Vista Previa"
"Add to Cart","Carrito"
"My Account","Mi Cuenta"
"Log Out","Salir"
"Log In","Log In"
"You have no items in your shopping cart.","No tiene productos en su carrito."
"Compare","Comparar"
"You have no items to compare.","No tienes productos para comparar."
"Email Address","Ingresa tu e-mail"
"Sort By","Ordenar por"
"Show","Mostrar"
"Price","Precio"
"Position","Posición"
"Name","Nombre"
"from","De"
"to","Hasta"
"In Stock","En Stock"
"Out of Stock","Sin Stock"
"Size","Talla"
"Size:","Talla:"
"Size: ","Talla: "
"Description","Descripción"
"Additional","Ficha Técnica"
"Be the first to review this product","Sé el primero en dejar un review."
"Write Your Own Review","Escribe tu review"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Solo usuarios registrados pueden escribir un review. Por favor, <a href=""%s"">ingresa</a> o <a href=""%s"">regístrate</a>"
"register","regístrate"
"login","logueate"
"Also Purchased","También compraron"
"Related Products","Productos relacionados"
"Check items to add to the cart or","Selecciona cada item para agregarlo al carrito"
"Go to cart page","Ir al Carrito"
"Continue","Seguir Comprando"
"Availability","Disponibilidad"
"Availability:","Disponibilidad:"
"Availability: ","Disponibilidad: "
"Go!","Suscribirme"
"Product Name","Nombre"
"Unit Price","Precio"
"Qty","Cantidad"
"Edit item parameters","Editar"
"Remove item","Remover"
"Continue Shopping","Seguir Comprando"
"Clear Shopping Cart","Limpiar Carrito"
"Update Shopping Cart","Actualizar Carrito"
"Proceed to Checkout","Ir al Checkout"
"Discount Codes","Código de descuento"
"Estimate Shipping and Tax","Calcula Envío e impuesto estimado"
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Country","País"
"State/Province","Ciudad/Provincia"
"Zip/Postal Code","Zip/Código Postal"
"Get a Quote","Cotiza"
"Tarifa plana","Tarifa Plana"
"Update Total","Actualiza Total"
"Cart Totals","Total Carrito"
"Grand Total","Total"
"Checkout with Multiple Addresses",""
"Telephone","Teléfono"
"Comment","Comentario"
"Size Guide","Guía de Tallas"
"Language","Idioma"
"English","Inglés"
"Spanish","Español"
"Clear All","Limpiar Todo"
"Product","Producto"
"Remove This Item","Remover Item"
